kw,sentence
akustische Sensoren,Ein Reziprozitätssystem befindet sich in der Endphase der Validierung für die Kalibrierung von Unterwasser akustische Sensoren .
akustische Sensoren,"Die akustische Sensoren wurden dauerhaft am Ethylenoxidtank implementiert, um bei jeder Requalifizierungskampagne ohne Beeinträchtigung der Brandschutzbeschichtung ihren Anschluss zu ermöglichen."
Akustiksystem,"Das Beste aber ist, dass wir unseren Boden mit dem Sound-Protect . so leise wie möglich machen Akustiksystem ."
Akustiksystem,Die perfekte Renovierungslösung in hochwertiger Optik bietet die integrierte ökologische Akustiksystem !
aktive Komponente,"Das Vorhandensein dieser 2 Ionen auf einer Banknote würde das Vorhandensein von Diacetylmorphin, dem wichtigsten aktive Komponente von Heroin."
aktive Komponente,"Molekulare Studien haben gezeigt, dass Tetrahydrocannabinol, das aktive Komponente von Cannabis, erhöht die Freisetzung von Dopamin im mesolimbischen Weg."
aktive Komponente,"Diese Studie zeigt, dass das Material mit einem niedrigen Molekulargewicht von 158 ein aktive Komponente im Wasabi-Blattstiel, der die Knochenverkalkung stimuliert."
aktive Komponente,"Die aktive Komponente von Prontosil erwies sich als Sulfanilamid, das zu einem weiteren wichtigen Sulfa-Medikament wurde."
aktive Komponente,"Ich habe mich auf den Begriff Tetrahydrocannabinol bezogen, der am häufigsten verwendet wird aktive Komponente von Cannabis."
aktive Komponente,"Kupferhaltige Pestizide werden unter Verwendung verschiedener Formen von Kupfer formuliert, das schließlich in das Kupfer-Ion dissoziiert, das aktive Komponente ."
aktive Komponente,"Die stärksten Hemmstoffe sind in Kartoffeln zu finden, und von diesen die meisten aktive Komponente ist das Glykoalkaloid Solanin."
aktive Komponente,Pharmakologische Untersuchungen zur antidiabetischen Wirkung von Cortex Moutan und seinen aktive Komponente paeonol.
aktive Komponente,Salvinorin A ist ein Neoclerodan-Diterpen und ist das aktive Komponente in der Pflanze Salvia divinorum.
aktive Komponente,"Das Wichtigste aktive Komponente in Ingwer, der ihm seinen ausgeprägten Geschmack verleiht, hat sich in der Forschung gezeigt, dass Gingerol das Wachstum von menschlichen Tumoren bei Mäusen verlangsamt."
Aktoren,Der neue Simulator simuliert die Geschwindigkeit und Kraft einer explosiven Stoßwelle mit computergesteuerter Hydraulik Aktoren .
Aktoren,"Jeder Sekundärteil verfügt über 672 Schwingspulen Aktoren , jetzt in der Endphase der Fertigung in Italien."
Aktoren,"Vorderseite Aktoren , Speicher und Hydraulikleitungen erfordern sowohl eine planmäßige als auch eine außerplanmäßige Wartung."
Aktoren,"Diese Technologie beinhaltet den Bau sehr kleiner mechanischer Geräte, die mit elektrischen Sensoren gekoppelt sind und Aktoren ."
Aktoren,Im Gegensatz zu ähnlichen Bemühungen verwendet Darim elektronische Servomotoren anstelle von hydraulischen Aktoren .
Aktoren,Und der Raptor Aktoren kann vorab in der Werkstatt auf das Flachkabel montiert werden.
Aktoren,"Die Aktoren verwenden hohe Ströme, und einige haben Einschaltströme, die das 10-fache ihres stationären Werts betragen können."
Aktoren,"Sobald die Maschine oder ihre gefährlichen Teile still stehen, wird die Energieversorgung der Aktoren betroffenen müssen abgeschnitten werden."
Aktoren,Basisversion ICON2000 Aktoren sind mit dreiphasigen Asynchronmotoren mit Käfigläufer und Induktionsmotor mit geringer Trägheit ausgestattet.
Aktoren,Die chemische Industrie zum Beispiel hat bereits Legionen von Sensoren installiert und Aktoren um seine Effizienz zu steigern.
drahtlose Ad-hoc-Netzwerke,"Hier sind je nach Netzwerkadapter unterschiedliche Szenarien denkbar, insbesondere bei Windows-basierten drahtlose Ad-hoc-Netzwerke ."
Systeme anpassen,"Wir müssen Systeme anpassen und Programme zur Erleichterung der Betreuung durch das Pflegepersonal, die ein äußerst wichtiges Puzzleteil ist."
fortschrittliche digitale Systeme,"Für die fortschrittliche digitale Systeme , besteht das Ziel darin, einen qualitativ hochwertigen stereophonen Dienst bereitzustellen, der mit CD-Qualität vergleichbar ist."
fortschrittliche Fertigung,Die neun US-Werke des Unternehmens enthalten einige der technologisch fortschrittlichsten fortschrittliche Fertigung Ausrüstung in der Industrie.
fortschrittliche Fertigung,Außerdem ist die fortschrittliche Fertigung Prozess garantiert eine vollständige Chelatisierung der verschiedenen Elemente.
fortschrittliche Fertigung,"Dies wurde bisher damit wegerklärt, dass Deutschland mehr Produkte herstellte, die in Chinas kapitalintensiver Wachstumsphase benötigt werden, insbesondere schwere Anlagen und fortschrittliche Fertigung Ausrüstung."
fortschrittliche Fertigung,"Zu den interessanten Sektoren gehören natürliche Ressourcen, erneuerbare Energien, Informations- und Kommunikationstechnologie, Lebensmittelverarbeitung, Pharmazie und Naturmedizin sowie fortschrittliche Fertigung ."
fortschrittliche Fertigung,Er hat angestellt fortschrittliche Fertigung Techniken wie austauschbare Teile und eine organisierte Produktionslinie.
fortschrittliche Fertigung,"Obwohl die traditionelle Herstellung in der Stadt seit mehreren Jahrzehnten im Niedergang begriffen ist, ist High-End fortschrittliche Fertigung bleibt sehr stark in der Stadt."
Fortschrittliche Fertigung,"Die erste Klage wurde beim Federal District Court in Texas eingereicht gegen Fortschrittliche Fertigung Engineering Systems von Nevada, Iowa."
Fortschrittliche Fertigung,"Das Unternehmen hinter dem 700 Hektar großen Wynyard Park-Anwesen in der Nähe von Stockton legt Pläne vor, den Standort South West Ironmasters als Fortschrittliche Fertigung Park."
fortschrittliche Fertigung,Aber wir haben einige der technischsten fortschrittliche Fertigung Pflanzen der Welt.
fortschrittliche Fertigung,"Er weist auch auf Aspekte eines politischen Rahmens hin, der erforderlich ist, um sicherzustellen, dass sich Stahl weiterentwickeln und eine technologische Entwicklung unterstützen kann fortschrittliche Fertigung Wirtschaft."
Luft- und Raumfahrtsysteme,"Als Folge der Auswirkungen des Versagens, Luft- und Raumfahrtsysteme haben höhere Anforderungen an Redundanz und Ausfallsicherheit."
Luft- und Raumfahrtsysteme,"Die in unseren Rettungsinseln verwendeten Laserfackeln sind ein Beispiel dafür, wie UTC Luft- und Raumfahrtsysteme ist bestrebt, neue Technologien in alle seine Produkte zu integrieren."
Klimaanlage,"Obwohl es Anfang Oktober war, befand sich die Stadt in einer indischen Sommerhitzewelle, die dazu führte, dass die Abteilung die Klimaanlage An."
Klimaanlage,"Wenn Sie also ein saisonaler Schnüffler sind, werden Sie sich freuen, vom weltweit ersten Anti-Allergen zu hören Klimaanlage ."
Klimaanlage,"Er drückte ein paar Knöpfe, Piepsen und Tätscheln ertönten im Raum zusammen mit dem leisen Surren der Klimaanlage ."
Klimaanlage,"Gehen Sie sparsam mit Bad- und Küchenlüftern um, wenn Klimaanlage arbeitet, um zu vermeiden, dass warme, feuchte Luft in Ihr Zuhause gesaugt wird."
Klimaanlage,"Trotzdem schlüpfte er ruhig aus seiner dicken grünen Jacke und hängte sie an den Kleiderbügel, der dem Klimaanlage ."
Klimaanlage,"Sobald das Auto abgekühlt ist, können Sie das natürlich ausschalten Klimaanlage und lassen Sie den Ventilator die kühle Luft drehen."
Klimaanlage,"Die zirkulierende Flüssigkeit in Ihrem Klimaanlage ist ein spezielles Kühlgas, das bei der Installation der Anlage zugeführt wird."
Klimaanlage,"Er hatte einen neuen gekauft Klimaanlage und einen Kühlschrank, konnten sie aber wegen der instabilen Elektrizität noch nicht genießen."
Klimaanlage,"Das ist ungefähr der gleiche Geräuschpegel, der durch das Surren eines Klimaanlage oder das Rumpeln des durchschnittlichen Stadtverkehrs."
Klimaanlage,"Ein Enthitzer ist ein Anbaugerät an Ihr Klimaanlage oder Wärmepumpe, die Abwärme von diesem Gerät ermöglicht, um das Brauchwasser zu erwärmen."
Luftverteidigungssystem,Der Blazer Luftverteidigungssystem kombiniert die Gatling-Kanone mit hoher Feuerrate entweder mit dem infrarotgesteuerten Boden-Luft-Raketensystem Stinger oder Mistral.
Luftverteidigungssystem,1961 wurde das RAF Fighter Command der NATO zugeteilt Luftverteidigungssystem .
Luftverteidigungssystem,"Verteidigungsquellen sagten dieser Nachrichtenagentur, dass Luftverteidigungssystem war SPADA genannt worden und Pakistan hatte es von Italien erworben."
Luftverteidigungssystem,Der Luftwaffe fehlte ein wirksames Luftverteidigungssystem zu Beginn des Krieges.
Luftsystem,"Während Luftsystem ist gut, es zappelt schlecht über scharfe Eingriffe wie Schlaglöcher, die die Passagiere erschüttern und erschüttern."
Luftsystem,"Ein pulsierendes Luftsystem , eine Düse für eine Pointillage und eine Sackgasse wird auf eine Gegenstromdüse gesetzt."
Luftsystem,Die KRONEN Luftsystem ermöglicht die Nutzung des HELICAL-Waschsystems in Kombination mit den Vorteilen der Flotation-Waschsysteme.
Luftsystem,1937 hatte er die Organisation der Betriebs- und Bodendienste für Kanadas ersten transkontinentalen Luftsystem .
Luftsystem,Eine Kombination DC und komprimiert Luftsystem blieb bis spät im Zeitplan in Betracht.
Luftsystem,"Eine breite Palette von Salatwaschmaschinen kann mit Optionen wie rotierenden Kleinteile-Entfernungstrommeln, peristaltischen Luftsystem und Siebtrommeln."
Luftsystem,Sourcebook ist eine zuverlässige Referenz für komprimierte Luftsystem Benutzer über Potenziale und Möglichkeiten zur Leistungssteigerung und weist die Leser auf weitere Informations- und Hilfequellen hin.
Luftsystem,"Corrine Dufour aus Savannah, Georgia, erhielt 1899 und 1900 zwei Patente für einen weiteren Schlag Luftsystem das scheint der erste Einsatz eines Elektromotors gewesen zu sein."
Luftsystem,Ein zentralisiertes Luftsystem filtert die Luft und befeuchtet oder entfeuchtet sie je nach Jahreszeit.
Luftsystem,"Die weiche Linse ermöglicht Flexibilität und passt sich der Brille an das Gesicht an, um eine bequeme Passform zu gewährleisten, während die Luftsystem ermöglicht eine angenehme Luftzirkulation um die Augen."
Flugverkehrsmanagementsysteme,Indra ist einer der führenden Anbieter von Flugverkehrsmanagementsysteme weltweit und hat seine Systeme in über 4.000 Einrichtungen und 160 Ländern installiert.
Flugzeugsysteme,"Der sechsstündige Testflug über dem Westen des Bundesstaates Washington ermöglichte es Boeing, die Kompatibilität des MESA-Radars mit Flugzeugsysteme ."
Flugzeugsysteme,"Das Hauptziel des letzten Checkout-Flugs von Helios bestand darin, den Flugbereich des Flugzeugs zu erweitern und den ordnungsgemäßen Betrieb von zu überprüfen Flugzeugsysteme in großen Höhen."
Flugzeugsysteme,"Ausschalten: Wartungsaktion, die eine Unterbrechung der Stromversorgung von Flugzeugsysteme ."
Flugzeugsysteme,"Es muss damit gerechnet werden, dass Flugzeugsysteme betroffen sein werden, entweder als direkte Folge des Brandes oder als Folge von Notfallmaßnahmen wie dem Abschalten von Elektrobussen."
Flugzeugsysteme,"Die meisten von den Flugzeugsysteme sind lose an denen des A380 angelehnt, jedoch für den militärischen Einsatz modifiziert."
Flugzeugsysteme,"Aufgrund des Brandschadens konnten keine Hinweise gefunden werden, ob einer der Flugzeugsysteme während des Fluges eine Fehlfunktion oder ein struktureller Defekt der Flugzeugzelle oder anderer Flugzeugkomponenten aufgetreten ist."
Flugzeugsysteme,"Dieser Test demonstrierte die technische Reife von Pyros, der von Grund auf mit kleinen, taktischen unbemannten Flugzeugsysteme im Sinn."
Flugzeugsysteme,"Flugzeugsysteme Die Designer von Alenia Aeronautica benötigten einen robusten Tablet-Computer, um eine tragbare Wartungseinheit für das zweimotorige Militär-Turboprop-Flugzeug Alenia C-27J zu beherbergen."
Flugzeugsysteme,Staats- und Bundesbeamte setzen große Hoffnungen auf das Wachstum der sogenannten unbemannten Flugzeugsysteme .
Flugzeugsysteme,"Es wurde festgestellt, dass drei bogenförmige Drähte von besonderer Art sind Flugzeugsysteme , und die Bogenpositionen wurden im Flugzeug genau positioniert."
Warnsystem,Mehrere Polizeikräfte in Großbritannien haben ein vermisstes Kind adoptiert Warnsystem um eine Tragödie abzuwenden.
Warnsystem,"Apple arbeitet an einer Automatik Warnsystem das ruft einen Arzt an, wenn Blutzucker oder Blutdruck aus dem Gleichgewicht geraten."
Warnsystem,"Diese Datenbank wird verwendet, um eine E-Mail zu senden Warnsystem die für jeden Benutzer in Bezug auf Themen und Häufigkeit angepasst werden können."
Warnsystem,"Der Ausfall einer Komponente des Warnsystem darf nicht dazu führen, dass das OBD-System nicht mehr funktioniert."
Warnsystem,"Wer weiß zum Beispiel, dass Forschungen zur Ozeanographie der Unesco zur Schaffung eines Tsumani . geführt haben Warnsystem die auf den Salomonen bereits Leben gerettet hat?"
Warnsystem,"Der Erhalt regelmäßiger Informationen über neue Titel ist ein zentrales Anliegen der Mitgliedstaaten und eine neue E-Mail Warnsystem wird vorbereitet, um diesen Aspekt der Kommunikation zu verbessern."
Warnsystem,"Herr Sprecher, dies ist das erste Mal, dass das Risiko über Phase drei der sechsstufigen Pandemie der Weltgesundheitsorganisation gestiegen ist Warnsystem seit der aktuellen Skala übernommen wurde."
Warnsystem,"Im Jahr 2005 wurde das webbasierte AMBER Warnsystem begrüßte wichtige Partner wie die BC Lotteries Corporation, die in der Lage ist, Lotteriezeichen an Tausenden von Standorten in ganz British Columbia zu aktivieren."
Warnsystem,"Entlang der Westküste der Vereinigten Staaten werden zusätzlich zu Sirenen über den National Weather Service Warnungen im Fernsehen und Radio gesendet, die den Notruf verwenden Warnsystem ."
Warnsystem,"Also entschuldige meine Sneakerfarbe Warnsystem , und entschuldigen Sie mein Lachen auf Kosten von ready.gov."
Vergabesystem,Die Vorschläge zur Aktualisierung der Ressource Vergabesystem werden im Folgenden rekapituliert.
Vergabesystem,"Die japanischen Behörden, die seit einiger Zeit die Anzahl der verfügbaren Bewegungen am Flughafen Osaka eingefroren haben, sehen sich nun damit konfrontiert, dass Narita voll ist und ihre eigenen hat Vergabesystem ."
Vergabesystem,In der Vergangenheit funktionierte diese Strategie nur so gut wie die Fähigkeit der Ressource Vergabesystem dafür sorgen: eine unbefristete Kreditkarte mit unklarem Weg zum Auffüllen der Gelder.
Vergabesystem,"Haushalte streben nicht unlogischerweise an, ihre Zugangsmöglichkeiten zu dieser Wohnform und den Punkten zu verbessern Vergabesystem von vielen lokalen Behörden betrieben wird, bietet den Mechanismus dazu."
Vergabesystem,Um eine Ressource zu erstellen Vergabesystem hauptsächlich leistungsgetrieben ist das Risiko einer Fehlleitung von Ressourcen in Bezug auf das Gesamtmandat des Instituts.
Vergabesystem,"Das ACCC hat Holcim Pty Ltd eine vorläufige Genehmigung erteilt, den Betrieb seines Wagens zu verlängern Vergabesystem für Betontransporter in Westaustralien."
Vergabesystem,Die Abteilung ist offen für Vorschläge für eine effizientere langfristige Vergabesystem .
Vergabesystem,Allerdings ist die Initiale Vergabesystem sollten ernsthafte wirtschaftliche Verwerfungen oder das Abwürgen von Investitionen für die Industrie vermeiden und dem Genehmigungsmarkt ausreichend Liquidität zur Verfügung stellen.
Vergabesystem,"Die Mitgliedstaaten sollten verpflichtet sein, die erforderlichen Maßnahmen zu treffen, um sicherzustellen, dass der Abfragecode Vergabesystem liefert Informationen, die die Konsistenz der Schlüsselelemente einer Abfragecodezuordnung unterstützen."
Vergabesystem,"Ein zentralisierter Abfragecode-Zuordnungsdienst, der über den Abfragecode bereitgestellt wird Vergabesystem , wurde unter der Aufsicht von Eurocontrol errichtet."
Analyse,Im Laufe der Jahre hat das Unternehmen Stärken in den Bereichen Big Data und primäre Verbraucherforschung aufgebaut und Analyse .
Analyse,"Auf einen Schlag, Web Analyse kann Ihnen helfen, alle wichtigen Informationen über die Besucher Ihrer Website herauszufinden."
Analyse,"Die Market Maker begannen dann, diese Preisdaten zu speichern und zu sammeln und zu entwickeln Analyse zur Vorhersage zukünftiger Marktbewegungen."
Analyse,"Über 4000 Aussteller aus 67 Nationen zeigen neueste Produkte aus den Bereichen Medizintechnik, Diagnostik, Analyse und Therapie."
Analyse,"Ich werde häufiger einige Berichte per E-Mail versenden, da ich besser darin werde, die Probleme aufzuschlüsseln Analyse in eine bessere Form für die Kunden."
Analyse,"Facebook, Blogger und Twitter laden uns regelmäßig ein, die Analyse für unsere Beiträge und Seiten."
Analyse,Diese kombinierten Ressourcen würden zusätzliche Kapazitäten für die Analyse und Konfiguration von Geschäftssystemen bereitstellen und Analyse .
Analyse,"Einbindung von Web Analyse Daten mit Such- und Merchandising-Software ermöglichen erweitertes Content-Targeting, um die Benutzererfahrung und den Verkauf zu verbessern."
Analyse,"Die Beantwortung der Fragen in diesem Bewertungstool hilft Ihnen festzustellen, wie viel Sie von einem Kunden profitieren könnten Analyse Qualitätsprogramm."
Analyse,"Außerdem Echtzeit Analyse und interaktive Dashboards bieten Einblick in Problembereiche, sodass Sie sofort Maßnahmen ergreifen können."
Android,"Wenn ein Android zu realistisch und lebensecht, plötzlich waren die Leute abgestoßen und angewidert."
Android,"Smith spielt Detective Del Spooner, der auf den Spuren eines Android des Mordes verdächtigt."
Android,"Die Android kam nur langsam voran, und sie war ungeduldig, also ging sie nach draußen zum Lastwagen und ließ die Heckklappe herunter."
Android,"Die Wendung ist, dass er ein . ist Android , in einer Gesellschaft leben, in der die Bevölkerung streng kontrolliert wird."
Android,"Sogar ein ziemlich erbärmlicher Mensch ist besser, als ein Seelenloser zu sein Android ."
Android,"Eine der Schönheiten von Android ist, dass beim Herunterladen einer App alles angezeigt wird, auf das die App auch Zugriff hat."
Android,"Sie treffen und bekämpfen auch Hakaider, und Android das sieht mit seiner exponierten Gehirnhälfte eher roboter als menschlich aus."
Android,Die meisten Science-Fiction-Autoren haben die Unterscheidung zwischen Android und Roboter ziemlich klar.
Android,Eine unwahrscheinliche Partnerschaft zwischen einem ergrauten Detektiv und einem hochentwickelten Android erweist sich als besonders fruchtbar.
Android,"Wer BladeRunner gesehen hat, kennt das kurze Selbstgespräch am Ende von einem der Android Replikanten, Roy, da er an einem genetisch programmierten frühen Tod stirbt."
Android-Geräte,"Im Jahr 2011 schloss das Unternehmen mit HTC, einem taiwanesischen Telefonhersteller, einen Vertrag über die Vorinstallation von Dropbox auf seinem Android-Geräte ."
Android-Geräte,"Viele Kunden haben bereits von der Bereitstellung von Duplicate Photos Fixer Pro auf ihrem Mac, iOS und profitiert Android-Geräte ."
Android-Geräte,"Die App auf dem Nook-Tablet und anderen Android-Geräte Außerdem können Sie die Statusleiste des Geräts ausblenden, damit Sie nicht durch Benachrichtigungen oben abgelenkt werden."
Android-Geräte,"Spieler können den Jackpot auf ihrem iOS knacken und Android-Geräte in einem unterhaltsamen und aufregenden neuen kostenlosen Pokerspiel namens &#39;Jackpot Poker&#39; von PokerStars, einem Amaya Inc."
Android-Geräte,Aus dem USA-Zweig von R2Games kommt in Zusammenarbeit mit S Plus Shards of Magic ein brandneuer mobiler RPG-Titel für iOS und Android-Geräte .
Android-Geräte,"Karteninhaber fordern einen einzigartigen dynamischen CVV-Code über die SAFE-App für iPhone an und Android-Geräte , oder per SMS-Anfrage."
Android-Geräte,"Auf zu den Innereien und schnell erkennt man, warum der Optimus Pro zu den bissigsten gehört Android-Geräte noch."
Android-Geräte,"Es enthält auch die Sharing-App namens Droid Zap für andere Droids. Android-Geräte und iPhone, Sprach- und Gestenbefehle und Geräuschunterdrückungstechnologie für Sprachanrufe."
Android-Geräte,"Eine Benachrichtigung auf der Google Code-Seite riet den Benutzern, sie von F-Droid herunterzuladen, einer Website, die kostenlose und Open-Source-Software für . hostet Android-Geräte ."
Android-Betriebssystem,"Acer glaubt, dass Android-Betriebssystem wird maßgeblich zum weltweiten Wachstum des Netbook-Marktes beitragen."
Android-Betriebssystem,"Aber das iPhone sieht sich einer viel härteren Konkurrenz durch Handys ausgesetzt, die die beliebten von Google verwenden Android-Betriebssystem ."
Android-Betriebssystem,"Einer der flinksten der Gruppe, HTC aus Taiwan, hat bereits damit begonnen, einen BlackBerry-ähnlichen Prototyp auf Basis des Android-Betriebssystem ."
Android-Betriebssystem,"Kurz nach der Ankündigung von Apple kündigte Google Pläne an, mit seinem Android-Betriebssystem ."
Android-Betriebssystem,"Sein vorausschauender Schritt zur Entwicklung der Android-Betriebssystem profitiert, da es den Smartphone-Markt dominiert."
Anomalieerkennung,"In Anomalieerkennung , wird das normale Verhalten des Systems modelliert."
Anomalieerkennung,Die Attraktivität oder Relevanz von Anomalien im wirklichen Leben ist ein Schlüsselmerkmal von Anomalieerkennung .
Flugabwehrsysteme,"Artillerie, Flugabwehrsysteme , fortschrittliche Waffensysteme."
Programmierschnittstelle,Die Serviceschicht kann eine Programmierschnittstelle die vielen Anwendungen den Zugriff auf die Datenbank ermöglicht.
Programmierschnittstelle,"Es besteht aus einer Reihe von Kernel-Treibern, und Programmierschnittstelle Bibliothek und Hilfsprogramme zur Unterstützung von Sound unter Linux."
Programmierschnittstelle,Sie sind am . integriert Programmierschnittstelle Niveau und werden ständig aktualisiert.
Programmierschnittstelle,Verwenden Sie dies Programmierschnittstelle Sie können beispielsweise Berichte zu Dokumentenverwaltungen erstellen.
Programmierschnittstelle,Der Chevy Volt kommt jetzt mit seinem eigenen Programmierschnittstelle .
Programmierschnittstelle,"Silicon Graphics kündigte außerdem acht neue Lizenznehmer von OpenGL an Programmierschnittstelle , einschließlich Daikin Corp."
Programmierschnittstelle,"OpenGL ist die einzige nicht proprietäre und offene Grafik Programmierschnittstelle , das von den meisten professionellen Grafikanwendungsentwicklern verwendet wird."
Programmierschnittstelle,Der Zugriff auf die physischen Speicher kann über den logischen Speicher mit einem einzigen Aufruf an einen entsprechenden . erfolgen Programmierschnittstelle .
Programmierschnittstelle,Das Betriebssystem muss per Definition ein Programmierschnittstelle und Hardwareschnittstellen in Form von Gerätetreibern.
Programmierschnittstelle,"Entwickler können die Apps über Spotify erstellen Programmierschnittstelle , Teil seines Programmiercodes."
Anwendungsserver,In-Band-Replikationslösungen sind nicht-invasiv und erfordern keinen Software-Footprint auf dem Anwendungsserver .
Anwendungsserver,"Das Unternehmen sagt, dass die Software auch mit Java interoperabel sein wird Anwendungsserver Standards."
Anwendungsserver,"Die Anwendungsserver weist den Softswitch an, wie der Anruf gemäß den Regeln der entsprechenden Dienstlogik zu beenden ist."
Anwendungsserver,"Sollte der Kunde die Anwendungsserver , oder führt das Datenbankverwaltungssystem diese Verarbeitung durch?"
Anwendungsserver,Über das Webinterface können sich Webbrowser mit dem Anwendungsserver Aufrufen von Komponenten innerhalb jeder Webanwendung.
Anwendungsserver,"Kann ich anstelle einer JSP eine Java-Anwendung verwenden, um ein Servlet auf einem Anwendungsserver ?"
Anwendungsserver,"Mehrere Anbieter haben Produkte auf den Markt gebracht, die das Konzept eines Mid-Tier einführen Anwendungsserver auf den Screenscraping-Markt."
Anwendungsserver,Das Killerprodukt des Unternehmens könnte das GoodInfo-System sein Anwendungsserver zum Liefern der Informationen an einen drahtlosen Client.
Anwendungsserver,Die zweiphasigen Commit-XA-Funktionen von Inprise Anwendungsserver spielte auch bei der Wahl des Unternehmens eine Rolle.
Anwendungsserver,"MiRS hat auch das Tekelec 6000 VoIP der nächsten Generation gekauft Anwendungsserver um fortschrittliche, funktionsreiche Mobil-, Voice-over-IP- und gehostete Centrex-Dienste anzubieten."
angewandte Wissenschaften,Die Royal Society ist eine unabhängige Akademie zur Förderung der natürlichen und angewandte Wissenschaften .
angewandte Wissenschaften,Die sich abzeichnende Beziehung zwischen den grundlegenden und angewandte Wissenschaften und Technologie ist komplex und nicht sequenziell.
angewandte Wissenschaften,Diese Sammlung von Doktorarbeiten und Dissertationen spiegelt die wissenschaftliche Forschung an unseren Universitäten und Universitäten wider angewandte Wissenschaften .
angewandte Wissenschaften,"Um für diese Aufgabe bestens gerüstet zu sein, hat eine Universität von angewandte Wissenschaften wurde ein Aufsichtsrat gebildet, der sich aus renommierten Experten zu Fachhochschulthemen zusammensetzt."
angewandte Wissenschaften,"Hier haben wir die weltbesten Maschinenhersteller, die wichtigsten Lieferanten für transparente Materialien, Spezialfärber, flexible Lohnsticker und die Universitäten von angewandte Wissenschaften ."
angewandte Wissenschaften,"In diesem Betrag sind Bauinvestitionen von über CHF 600 Mio. enthalten, die einen selbstbewussten Auftritt der Hochschulen von angewandte Wissenschaften ."
angewandte Wissenschaften,"Der Bürgermeister hat letzte Woche eine Suche nach einem Partner gestartet, der beim Bau und Betrieb einer angewandte Wissenschaften Schule in der Stadt."
Angewandte Wissenschaften,Westnorwegen Universität von Angewandte Wissenschaften hat 6.000 Studenten und 600 Mitarbeiter.
Angewandte Wissenschaften,Mit dem vor knapp zwei Jahren ins Leben gerufenen Dualen Studiengang Systemtechnik können Mechatroniker in Kooperation mit der dortigen Universität Angewandte Wissenschaften .
Angewandte Wissenschaften,"Nördlich des Bahnhofs St. Gallen befindet sich die Universität Angewandte Wissenschaften der Ostschweiz plant den Bau eines neuen mehrstöckigen Gebäudes, das Platz für 2000 Studierende bietet."
