kw,sentence
climatiseur,"Même si c&#39;était début octobre, la ville était en pleine canicule estivale indienne, ce qui a amené le département à avoir le climatiseur au."
climatiseur,"Donc, si vous êtes un snuffler saisonnier, vous serez heureux d&#39;entendre parler du premier anti-allergène au monde climatiseur ."
climatiseur,"Il appuya sur quelques boutons, des bips et des toots résonnaient dans la pièce avec le doux ronronnement du climatiseur ."
climatiseur,Utilisez les ventilateurs de salle de bain et de cuisine avec parcimonie lorsque le climatiseur fonctionne pour éviter d&#39;aspirer de l&#39;air chaud et humide dans votre maison.
climatiseur,"Pourtant, il sortit calmement de son épaisse veste verte et l&#39;accrocha au cintre le plus proche du climatiseur ."
climatiseur,"Une fois la voiture refroidie, vous pouvez évidemment éteindre le climatiseur et laissez le ventilateur faire tourner l&#39;air frais."
climatiseur,Le fluide circulant dans votre climatiseur est un gaz réfrigérant spécial qui est introduit lors de l&#39;installation du système.
climatiseur,Il avait acheté un nouveau climatiseur et un réfrigérateur mais n&#39;a toujours pas eu la chance d&#39;en profiter à cause de l&#39;électricité instable.
climatiseur,C&#39;est à peu près le même niveau de bruit produit par le ronronnement d&#39;un climatiseur ou le grondement du trafic urbain moyen.
climatiseur,Un désurchauffeur est un accessoire à votre climatiseur ou une pompe à chaleur qui permet à la chaleur perdue de cet appareil d&#39;aider à chauffer l&#39;eau domestique.
système de défense aérienne,Le blouson système de défense aérienne combine le canon Gatling à cadence de tir élevée avec le système de missile sol-air à guidage infrarouge Stinger ou Mistral.
système de défense aérienne,"En 1961, le RAF Fighter Command a été affecté à l&#39;OTAN système de défense aérienne ."
système de défense aérienne,Des sources de la défense ont déclaré à cette agence de presse que système de défense aérienne avait été nommé SPADA et le Pakistan l&#39;avait acquis de l&#39;Italie.
système de défense aérienne,La Luftwaffe manquait d&#39;un système de défense aérienne au début de la guerre.
système d&#39;air,"Tandis que le système d&#39;air est bon, il s&#39;agite mal sur les intrusions pointues comme les nids-de-poule, secouant et secouant les passagers."
système d&#39;air,"Une pulsation système d&#39;air , un jet pour un pointillage et un cul-de-sac est posé sur une buse à contre-courant."
système d&#39;air,La couronne système d&#39;air permet de profiter du système de lavage HELICAL en combinaison avec les avantages des systèmes de lavage par flottation.
système d&#39;air,"En 1937, il avait été le fer de lance de l&#39;organisation des services d&#39;exploitation et au sol de la première ligne transcontinentale du Canada système d&#39;air ."
système d&#39;air,Une combinaison DC et compressé système d&#39;air resté à l&#39;étude jusqu&#39;à la fin du calendrier.
système d&#39;air,"Une large gamme de rondelles de laitue peut être adaptée à toutes les exigences avec des options telles que les tambours d&#39;enlèvement de petits morceaux rotatifs, péristaltiques système d&#39;air et tamis tambours."
système d&#39;air,"Sourcebook est une référence fiable pour les système d&#39;air utilisateurs sur le potentiel et les opportunités d&#39;amélioration des performances, et oriente les lecteurs vers d&#39;autres sources d&#39;information et d&#39;aide."
système d&#39;air,"Corrine Dufour de Savannah, Géorgie a reçu deux brevets en 1899 et 1900 pour un autre soufflé système d&#39;air qui semble avoir présenté la première utilisation d&#39;un moteur électrique."
système d&#39;air,"Un centralisé système d&#39;air filtre l&#39;air et l&#39;humidifie ou le déshumidifie, selon la saison."
système d&#39;air,"La lentille souple permet la flexibilité, moulant les lunettes sur le visage pour un ajustement confortable confortable tandis que le système d&#39;air Cette fonction permet à l&#39;air de circuler agréablement autour des yeux."
systèmes de gestion du trafic aérien,Indra est l&#39;un des principaux fournisseurs de systèmes de gestion du trafic aérien dans le monde et a installé ses systèmes dans plus de 4 000 installations et 160 pays.
systèmes d&#39;avions,Le vol d&#39;essai de six heures au-dessus de l&#39;ouest de l&#39;État de Washington a permis à Boeing de confirmer la compatibilité du radar MESA avec systèmes d&#39;avions .
systèmes d&#39;avions,L&#39;objectif principal du récent vol de vérification d&#39;Helios était d&#39;élargir le domaine de vol de l&#39;avion et de vérifier le bon fonctionnement de systèmes d&#39;avions à haute altitude.
systèmes d&#39;avions,Mise hors tension : action de maintenance qui nécessite la mise hors tension de systèmes d&#39;avions .
systèmes d&#39;avions,"Il faut prévoir que systèmes d&#39;avions seront affectés, soit en conséquence directe de l&#39;incendie, soit en raison de procédures d&#39;urgence telles que la mise hors tension des bus électriques."
systèmes d&#39;avions,"La plupart systèmes d&#39;avions sont vaguement inspirés de ceux de l&#39;A380, mais modifiés pour la mission militaire."
systèmes d&#39;avions,"En raison des dommages causés par l&#39;incendie, aucune preuve n&#39;a pu être trouvée quant à savoir si l&#39;un des systèmes d&#39;avions a mal fonctionné en vol ou il y a eu une défaillance structurelle de la cellule ou d&#39;autres composants de l&#39;avion."
systèmes d&#39;avions,"Ce test a démontré la maturité technique de Pyros, qui est conçu à partir de zéro avec de petits drones tactiques systèmes d&#39;avions à l&#39;esprit."
Systèmes d&#39;avion,Systèmes d&#39;avion Les concepteurs d&#39;Alenia Aeronautica avaient besoin d&#39;une tablette informatique robuste pour héberger une unité de maintenance portable pour l&#39;avion cargo bimoteur militaire à turbopropulseurs Alenia C-27J.
systèmes d&#39;avions,Les autorités étatiques et fédérales fondent de grands espoirs sur la croissance de ce que l&#39;on appelle les drones systèmes d&#39;avions .
systèmes d&#39;avions,"Il a été déterminé que trois fils arqués provenaient de systèmes d&#39;avions , et les emplacements des arcs étaient positionnés avec précision dans l&#39;avion."
système d&#39;alerte,Plusieurs forces de police britanniques ont adopté un enfant disparu système d&#39;alerte dans le but d&#39;éviter la tragédie.
système d&#39;alerte,Apple travaille sur une automatique système d&#39;alerte qui appelle un médecin si la glycémie ou la pression artérielle se dérègle.
système d&#39;alerte,Cette base de données sera utilisée pour piloter un e-mail système d&#39;alerte qui peut être personnalisé pour chaque utilisateur en termes de thèmes et de fréquence.
système d&#39;alerte,La défaillance d&#39;un composant du système d&#39;alerte ne doit pas entraîner l&#39;arrêt du fonctionnement du système OBD.
système d&#39;alerte,"Qui sait, par exemple, que les recherches océanographiques menées par l&#39;Unesco ont abouti à la création d&#39;un Tsumani système d&#39;alerte qui a déjà sauvé des vies dans les îles Salomon ?"
système d&#39;alerte,Recevoir des informations régulières sur les nouveaux titres est au cœur des préoccupations des États membres et un nouveau courrier électronique système d&#39;alerte se prépare à améliorer cet aspect de la communication.
système d&#39;alerte,"Monsieur le Président, c&#39;est la première fois que le risque dépasse la phase trois de la pandémie en six étapes de l&#39;Organisation mondiale de la santé système d&#39;alerte depuis l&#39;adoption du barème actuel."
Système d&#39;alerte,"En 2005, le site Web AMBER Système d&#39;alerte a accueilli des partenaires clés tels que BC Lotteries Corporation, qui a la capacité d&#39;activer des panneaux de loterie dans des milliers d&#39;endroits à travers la Colombie-Britannique."
Système d&#39;alerte,"Le long de la côte ouest des États-Unis, en plus des sirènes, des avertissements sont envoyés à la télévision et à la radio via le National Weather Service, en utilisant le service d&#39;urgence Système d&#39;alerte ."
système d&#39;alerte,"Alors pardonnez ma couleur de baskets système d&#39;alerte , et excusez mon rire au détriment de ready.gov."
système d&#39;attribution,Les propositions de mise à jour de la ressource système d&#39;attribution sont récapitulés ci-dessous.
système d&#39;attribution,"Les autorités japonaises, qui ont gelé pendant un certain temps le nombre de mouvements disponibles à l&#39;aéroport d&#39;Osaka, sont désormais confrontées à la saturation de Narita et disposent de leur propre système d&#39;attribution ."
système d&#39;attribution,"Dans le passé, cette stratégie ne fonctionnait qu&#39;aussi bien que la capacité de la ressource système d&#39;attribution prévoir : une carte de crédit à durée indéterminée avec un chemin peu clair pour reconstituer les fonds."
système d&#39;attribution,"Les ménages visent, non illogiquement, à renforcer leur capacité d&#39;accès à cette forme de logement et aux points système d&#39;attribution géré par de nombreuses autorités locales fournit le mécanisme pour le faire."
système d&#39;attribution,Pour faire une ressource système d&#39;attribution principalement motivée par la performance est de risquer une mauvaise affectation des ressources par rapport au mandat global de l&#39;institution.
système d&#39;attribution,L&#39;ACCC a accordé une autorisation provisoire à Holcim Pty Ltd pour prolonger l&#39;exploitation de son camionnage système d&#39;attribution pour les porteurs de béton en Australie occidentale.
système d&#39;attribution,Le département est ouvert aux suggestions pour un long terme plus efficace système d&#39;attribution .
système d&#39;attribution,"Cependant, la première système d&#39;attribution devrait éviter toute perturbation économique grave ou l&#39;étranglement des investissements pour l&#39;industrie, et fournir des liquidités suffisantes au marché des permis."
système d&#39;attribution,Les États membres devraient être tenus de prendre les mesures nécessaires pour garantir que le code de l&#39;interrogateur système d&#39;attribution fournit des informations soutenant la cohérence des éléments clés d&#39;une allocation de code d&#39;interrogateur.
système d&#39;attribution,"Un service d&#39;attribution de code d&#39;interrogateur centralisé, fourni par le code d&#39;interrogateur système d&#39;attribution , a été établi sous l&#39;autorité d&#39;Eurocontrol."
analytique,"Au fil des ans, l&#39;entreprise a développé des atouts dans le domaine des mégadonnées et des études de consommation primaires et analytique ."
analytique,"D&#39;un seul coup, Web analytique peut vous aider à comprendre toutes les informations importantes sur les personnes qui visitent votre site."
analytique,Les teneurs de marché ont alors commencé à stocker et à accumuler ces données de prix et à développer analytique pour prévoir les mouvements futurs du marché.
analytique,"Plus de 4000 exposants de 67 pays présenteront des produits de pointe dans les domaines de la technologie médicale, du diagnostic, analytique et thérapie."
analytique,Je commencerai à envoyer des rapports par e-mail plus souvent à mesure que je m&#39;améliorerai dans la décomposition des analytique dans une meilleure forme pour les clients.
analytique,"Facebook, Blogger et Twitter nous invitent régulièrement à étudier les analytique pour nos articles et pages."
analytique,Ces ressources combinées fourniraient une capacité supplémentaire d&#39;analyse et de configuration des systèmes d&#39;entreprise et analytique .
analytique,Intégration du Web analytique données avec un logiciel de recherche et de marchandisage permet un ciblage de contenu avancé pour améliorer l&#39;expérience utilisateur et les ventes.
analytique,Répondre aux questions de cet outil d&#39;évaluation vous aidera à déterminer combien vous pourriez bénéficier d&#39;un client analytique programme de qualité.
analytique,"De plus, en temps réel analytique et les tableaux de bord interactifs offrent une visibilité sur les zones à problèmes afin que vous puissiez prendre des mesures immédiates."
Android,"Si un Android devenus trop réalistes et réalistes, les gens étaient soudainement repoussés et dégoûtés."
Android,"Smith incarne le détective Del Spooner, qui part sur la piste d&#39;un Android soupçonné de meurtre."
Android,"Les Android fait des progrès lents, et elle était impatiente, alors elle est sortie vers le camion et a abaissé son hayon."
Android,"La torsion est qu&#39;il est un Android , vivant dans une société où la population est strictement contrôlée."
Android,Même un être humain assez pathétique vaut mieux que d&#39;être sans âme Android .
Android,"L&#39;une des beautés de Android c&#39;est que lorsque vous téléchargez une application, elle vous montre également tout ce à quoi l&#39;application a accès."
Android,"Ils rencontrent et combattent également Hakaider, un Android qui ressemble plus à un robot qu&#39;à un humain avec son cerveau exposé."
Android,La plupart des auteurs de science-fiction ont gardé la distinction entre Android et robot assez clair.
Android,Un partenariat improbable entre un détective grisonnant et un très évolué Android s&#39;avère particulièrement fructueuse.
Android,"Si vous avez vu BladeRunner, vous connaissez le court soliloque à la fin par l&#39;un des Android réplicants, Roy, alors qu&#39;il est sur le point d&#39;expirer d&#39;une mort prématurée génétiquement programmée."
Appareils Android,"En 2011, il a conclu un accord avec HTC, un fabricant de téléphones taïwanais, pour préinstaller Dropbox sur son Appareils Android ."
Appareils Android,"De nombreux clients ont déjà bénéficié du déploiement de Duplicate Photos Fixer Pro sur leur Mac, iOS et Appareils Android ."
Appareils Android,"L&#39;application sur la tablette Nook et autres Appareils Android vous permet également de masquer la barre d&#39;état de l&#39;appareil, afin que vous ne soyez pas distrait par les notifications en haut."
Appareils Android,"Les joueurs peuvent toucher le Jackpot sur leur iOS et Appareils Android dans un nouveau jeu de poker gratuit et amusant appelé « Jackpot Poker » par PokerStars, une société Amaya Inc."
Appareils Android,"De la branche américaine de R2Games, en collaboration avec S Plus, vient Shards of Magic, un tout nouveau titre RPG mobile pour iOS et Appareils Android ."
Appareils Android,"Les titulaires de carte demandent un code CVV dynamique unique via l&#39;application SAFE pour iPhone et Appareils Android , ou via une demande de messagerie texte."
Appareils Android,Sur les entrailles et vous voyez rapidement pourquoi l&#39;Optimus Pro est l&#39;un des plus vifs Appareils Android encore.
Appareils Android,"Il comprend également l&#39;application de partage appelée Droid Zap pour les autres droïdes, Appareils Android et iPhone, commandes vocales et gestuelles et technologie de suppression du bruit pour les appels vocaux."
Appareils Android,"Une notification sur sa page Google Code conseillait aux utilisateurs de le télécharger à partir de F-Droid, un site Web qui héberge des logiciels gratuits et open source pour Appareils Android ."
Système d&#39;exploitation Android,Acer pense que le Système d&#39;exploitation Android contribuera de manière significative à la croissance du marché mondial des netbooks.
Système d&#39;exploitation Android,Mais l&#39;iPhone est confronté à une concurrence beaucoup plus rude de la part des combinés utilisant le populaire Système d&#39;exploitation Android .
Système d&#39;exploitation Android,"L&#39;un des plus agiles du groupe, HTC de Taiwan, a déjà commencé à montrer un prototype de type BlackBerry basé sur le Système d&#39;exploitation Android ."
Système d&#39;exploitation Android,"Peu de temps après l&#39;annonce d&#39;Apple, Google a annoncé son intention d&#39;emboîter le pas à son Système d&#39;exploitation Android ."
Système d&#39;exploitation Android,"Son mouvement prémonitoire pour développer le Système d&#39;exploitation Android récolte des bénéfices, car il domine le marché des smartphones."
Détection d&#39;une anomalie,"Dans Détection d&#39;une anomalie , le comportement normal du système est modélisé."
Détection d&#39;une anomalie,L&#39;intérêt ou la pertinence réelle des anomalies est une caractéristique clé de Détection d&#39;une anomalie .
systèmes anti-aériens,"Artillerie, systèmes anti-aériens , systèmes d&#39;armes avancés."
Interface de programmation d&#39;applications,La couche de service peut avoir un Interface de programmation d&#39;applications qui permet à de nombreuses applications d&#39;avoir accès à la base de données.
Interface de programmation d&#39;applications,"Il se compose d&#39;un ensemble de pilotes de noyau, d&#39;un Interface de programmation d&#39;applications bibliothèque et programmes utilitaires pour la prise en charge du son sous Linux."
Interface de programmation d&#39;applications,Ils sont intégrés au Interface de programmation d&#39;applications niveau et sont mis à jour en permanence.
Interface de programmation d&#39;applications,"En utilisant ce Interface de programmation d&#39;applications vous pouvez, par exemple, générer des rapports sur les coffres de documents."
Interface de programmation d&#39;applications,La Chevrolet Volt est maintenant livrée avec la sienne Interface de programmation d&#39;applications .
Interface de programmation d&#39;applications,"Silicon Graphics a également annoncé huit nouveaux licenciés de l&#39;OpenGL Interface de programmation d&#39;applications , y compris Daikin Corp."
Interface de programmation d&#39;applications,"OpenGL est le seul graphique non propriétaire et ouvert Interface de programmation d&#39;applications , qui est utilisé par la plupart des développeurs d&#39;applications graphiques professionnels."
Interface de programmation d&#39;applications,L&#39;accès aux magasins physiques peut avoir lieu via le magasin logique avec un seul appel à un Interface de programmation d&#39;applications .
Interface de programmation d&#39;applications,"Le système d&#39;exploitation par définition doit inclure un Interface de programmation d&#39;applications , et des interfaces matérielles sous la forme de pilotes de périphérique."
Interface de programmation d&#39;applications,"Les développeurs pourront créer les applications via Spotify Interface de programmation d&#39;applications , une partie de son code de programmation."
serveur d&#39;application,"Les solutions de réplication intrabande sont non invasives, n&#39;ayant pas besoin d&#39;une empreinte logicielle sur le serveur d&#39;application ."
serveur d&#39;application,La société affirme que le logiciel sera également interopérable avec Java serveur d&#39;application normes.
serveur d&#39;application,Les serveur d&#39;application indique au commutateur logiciel comment terminer l&#39;appel conformément aux règles de la logique de service appropriée.
serveur d&#39;application,"Si le client, le serveur d&#39;application , ou le système de gestion de base de données effectue-t-il ce traitement ?"
serveur d&#39;application,L&#39;interface Web permet aux navigateurs Web de se connecter au serveur d&#39;application invoquer des composants au sein de chaque application Web.
serveur d&#39;application,Puis-je utiliser une application Java au lieu d&#39;un JSP pour invoquer un servlet sur un serveur d&#39;application ?
serveur d&#39;application,Plusieurs fournisseurs ont lancé des produits introduisant le concept d&#39;un milieu de gamme serveur d&#39;application au marché du grattage d&#39;écran.
serveur d&#39;application,"Le produit phare de l&#39;entreprise pourrait être le système GoodInfo, un serveur d&#39;application pour fournir les informations à un client sans fil."
Serveur d&#39;application,Les capacités XA de validation en deux phases d&#39;Inprise Serveur d&#39;application également figuré dans le choix de l&#39;entreprise.
Serveur d&#39;application,"MiRS a également acheté le Tekelec 6000 VoIP de nouvelle génération Serveur d&#39;application pour offrir des services mobiles avancés et riches en fonctionnalités, de voix sur IP et de Centrex hébergé."
sciences appliquées,La Royal Society est une académie indépendante qui promeut le naturel et sciences appliquées .
sciences appliquées,"Cependant, la relation émergente entre la base et la sciences appliquées et la technologie est complexe et non séquentielle."
sciences appliquées,Ce recueil de thèses et thèses de doctorat reflète la recherche scientifique dans nos universités et universités de sciences appliquées .
sciences appliquées,"Afin d&#39;être bien préparé pour cette tâche, une université de sciences appliquées un comité de surveillance a été formé, composé d&#39;experts renommés sur des sujets liés à l&#39;université des sciences appliquées."
sciences appliquées,"Ici, nous avons les meilleurs fabricants de machines au monde, les fournisseurs les plus importants de matériaux transparents, des teinturiers spécialisés, des brodeurs à contrat flexibles et les universités de sciences appliquées ."
sciences appliquées,Ce montant comprend des investissements immobiliers de plus de CHF 600 millions destinés à assurer une présence sûre des universités de sciences appliquées .
sciences appliquées,Le maire a lancé la semaine dernière une recherche d&#39;un partenaire pour aider à construire et à exploiter un sciences appliquées école de la ville.
Sciences appliquées,Université de Norvège occidentale de Sciences appliquées compte 6 000 étudiants et 600 employés.
Sciences appliquées,"Avec le programme de diplôme en génie des systèmes coopératif lancé il y a près de deux ans, les apprentis mécatroniques peuvent obtenir un diplôme en génie des systèmes en association avec l&#39;Université locale de Sciences appliquées ."
Sciences appliquées,"Au nord de la gare de Saint-Gall, l&#39;Université de Sciences appliquées de Suisse orientale envisage de construire un nouveau bâtiment de plusieurs étages qui accueillera 2 000 étudiants."
Système d&#39;architecture,"Tera Computer Company, a installé un système multithread à quatre processeurs Système d&#39;architecture au Superordinateur Center de San Diego."
réseau local,Utiliser le même protocole avec des fonctionnalités similaires à celles d&#39;un local réseau local se traduit par la simplicité.
réseau local,"Sur un local réseau local ou autre réseau, l&#39;adresse MAC est le numéro de matériel unique d&#39;un ordinateur."
réseau local,"Par exemple, le proxy peut être combiné avec un pare-feu pour fournir une sécurité supplémentaire à un réseau local ."
réseau local,"Si de telles fonctionnalités sont requises, elles peuvent être fournies plus efficacement et avec plus d&#39;évolutivité au sein d&#39;un stockage réseau local ."
réseau local,Nous voulons activer le serveur DNS de mise en cache sur notre routeur mais le rendre disponible uniquement pour les ordinateurs de notre réseau local .
réseau local,"Connectez des ordinateurs dans un bureau, et vous avez un local réseau local ."
réseau local,"Lorsqu&#39;il est activé, Bluetooth fournit le réseau local environnement sûr et fiable, rapide et facile."
réseau local,"Cette norme est un appareil personnel sans fil à faible coût, à faible débit et à faible consommation d&#39;énergie. réseau local La technologie."
réseau local,"De plus, un deuxième réseau international réseau local pour fournir une connectivité de données était en cours de mise en place."
réseau local,"Etude, conception et intégration d&#39;un local réseau local avec Internet, facilité par la disponibilité de lignes XDSL bon marché."
système d&#39;armement,La configuration de chaque complexe particulier et leurs spécifications prédéterminent la qualité du missile et de l&#39;artillerie système d&#39;armement à tous les niveaux dans son ensemble.
Système de missiles tactiques de l&#39;armée,"l&#39;armée mercredi pour moderniser son Système de missiles tactiques de l&#39;armée , ou ATACMS, pour lui permettre de faire face aux menaces hypersoniques."
technologie de réseau,"Notre approche technique combine des avancées propriétaires en chimie de synthèse, chimie de surface, biologie moléculaire, enzymologie, technologie de réseau et optique."
technologie de réseau,L&#39;échocardiographie fœtale en quatre dimensions peut également être réalisée à l&#39;aide d&#39;une matrice électronique technologie de réseau .
Technologie des baies,"Les avantages du Phased Technologie des baies sont la réduction du balayage mécanique classique, la focalisation des ultrasons et la variation des angles d&#39;incidence avec un seul capteur."
technologie de réseau,"Fixé technologie de réseau permet un nouveau seuil pour le coût total d&#39;impression, le débit total et la facilité d&#39;utilisation."
